feedback_text,sentiment_category,compound,dominant_topic,topic_probability
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Product quality could be better.,Negative,0.4404,2,0.7521630995888039
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Worth the price, happy with the purchase.",Positive,0.6808,4,0.7799099939052342
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
Easy to use and reliable.,Positive,0.4404,2,0.7527862127738244
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Great product, very satisfied.",Positive,0.8016,2,0.7520936740091019
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
"Delivery was late, not happy.",Negative,-0.4585,1,0.7518918901124916
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
"Met expectations, nothing special.",Neutral,-0.3089,3,0.7527862849757897
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
"Terrible experience, will not buy again.",Negative,-0.4767,1,0.7527862922988393
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Highly recommend to others.,Positive,0.4201,4,0.707179570886235
Too expensive for the features offered.,Negative,0.0,0,0.7527863576182771
Excellent customer service.,Positive,0.5719,3,0.7527862865873713
